"Planet","Grid","CurrentSector","Reason","SuggestedWookieepediaTitle","GridCategoryUrl"
"Aaeton","K9","Aaeton Sector","Matching Wookieepedia page has no usable sector field.","Aaeton","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-9"
"Aargau","L10","Aargau Sector","Matching Wookieepedia page has no usable sector field.","Aargau","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-10"
"Abregado-rae","K13","Abregado-rae Sector","Matching Wookieepedia page has no usable sector field.","Abregado-rae","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-13"
"Adumar","J6","Adumar Sector","Matching Wookieepedia page has no usable sector field.","Adumar","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-6"
"Aeten","J6","Adumar Sector","Matching Wookieepedia page has no usable sector field.","Aeten system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-6"
"Affa","M13","Affa Sector","Matching Wookieepedia page has no usable sector field.","Affa","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-13"
"Affavan","S12","Hutt Space","Matching Wookieepedia page has no usable sector field.","Affavan","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-12"
"Ahch-To","E13","Ahch-To Sector","No matching page title in the Wookieepedia grid category.","Ahch-To","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_E-13"
"Ailon","N12","Ailon Sector","Matching Wookieepedia page has no usable sector field.","Ailon/Legends","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-12"
"Alashan","J5","Alashan Sector","Matching Wookieepedia page has no usable sector field.","Alashan","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-5"
"Alee","R9","Hutt Space","Matching Wookieepedia page has no usable sector field.","Alee","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_R-9"
"Alland","K10","Alland Sector","Matching Wookieepedia page has no usable sector field.","Alland","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-10"
"Andalasa","P18","Cor'ric","No matching page title in the Wookieepedia grid category.","Andalasa","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_P-18"
"Andara","L13","Andara Sector","Matching Wookieepedia page has no usable sector field.","Andara","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-13"
"Andelm IV","Q19","Svivreni","No matching page title in the Wookieepedia grid category.","Andelm IV","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_Q-19"
"Anoth","J20","Anoth Sector","Matching Wookieepedia page has no usable sector field.","Anoth/Legends","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-20"
"Antar","N12","Ailon Sector","Matching Wookieepedia page has no usable sector field.","Antar","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-12"
"Aphran","K8","Aphran Sector","Matching Wookieepedia page has no usable sector field.","Aphran","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-8"
"Aradia","K10","Alland Sector","Matching Wookieepedia page has no usable sector field.","Aradia system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-10"
"Arat Fraca","M12","Arat Fraca Sector","Matching Wookieepedia page has no usable sector field.","Arat Fraca","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-12"
"Arcan","R6","Thanium","No matching page title in the Wookieepedia grid category.","Arcan","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_R-6"
"Arkam","M14","Arkam Sector","Matching Wookieepedia page has no usable sector field.","Arkam system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-14"
"Arkania","M8","Arkania Sector","Matching Wookieepedia page has no usable sector field.","Arkania","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-8"
"Asrat","N8","Asrat Sector","Matching Wookieepedia page has no usable sector field.","Asrat","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-8"
"Atapap I","N12","Ailon Sector","Matching Wookieepedia page has no usable sector field.","Atapap I","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-12"
"Atollon","U7","Lothal sector","No matching page title in the Wookieepedia grid category.","Atollon","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_U-7"
"Ator","M10","Alderaan Sector","Matching Wookieepedia page has no usable sector field.","Ator","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-10"
"Atzerri","M13","Affa Sector","Matching Wookieepedia page has no usable sector field.","Atzerri","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-13"
"Aylayl","S12","Hutt Space","Matching Wookieepedia page has no usable sector field.","Aylayl","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-12"
"Azbrian","L12","Azbrian Sector","Matching Wookieepedia page has no usable sector field.","Azbrian","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-12"
"Babbadod","N14","Babbadod Sector","Matching Wookieepedia page has no usable sector field.","Babbadod","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-14"
"Balmorra","M10","Alderaan Sector","Matching Wookieepedia page has no usable sector field.","Balmorra","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-10"
"Balosar","L12","Azbrian Sector","Matching Wookieepedia page has no usable sector field.","Balosar","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-12"
"Baraboo","M11","Baraboo Sector","Matching Wookieepedia page has no usable sector field.","Baraboo","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-11"
"Baradas","L8","Baradas Sector","Matching Wookieepedia page has no usable sector field.","Baradas","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-8"
"Basilisk","L9","Alsakan Sector","Matching Wookieepedia page has no usable sector field.","Basilisk","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-9"
